Network,Alpha2code,Region,City,Postal code 
2A02:888:4052::/64,SA,SA-04,Eastern,
2A02:888:4053::/48,SA,SA-04,Eastern,
2A02:888:4054::/48,SA,SA-04,Eastern,
2A02:888:4055::/64,SA,SA-04,Eastern,
2A02:888:4044::/48,SA,SA-04,Eastern,
2A02:888:4047::/64,SA,SA-04,Eastern,
2A02:888:4045::/48,SA,SA-04,Eastern,
2A02:888:4046::/48,SA,SA-04,Eastern,
2A02:888:4048::/48,SA,SA-04,Eastern,
2A02:888:4051::/64,SA,SA-04,Eastern,
2A02:888:4049::/48,SA,SA-04,Eastern,
2A02:888:4050::/48,SA,SA-04,Eastern,
2A02:888:4040::/48,SA,SA-04,Eastern,
2A02:888:4043::/64,SA,SA-04,Eastern,
2A02:888:4041::/48,SA,SA-04,Eastern,
2A02:888:4042::/48,SA,SA-04,Eastern,
2A02:88D:4030::/48,SA,SA-04,Eastern,
2A02:88D:403F::/64,SA,SA-04,Eastern,
2A02:88D:4039::/48,SA,SA-04,Eastern,
2A02:88D:403A::/48,SA,SA-04,Eastern,
2A02:88D:403B::/48,SA,SA-04,Eastern,
2A02:88D:403C::/48,SA,SA-04,Eastern,
2A02:88D:403D::/48,SA,SA-04,Eastern,
2A02:88D:403E::/48,SA,SA-04,Eastern,
2A02:88D:4031::/48,SA,SA-04,Eastern,
2A02:88D:4032::/48,SA,SA-04,Eastern,
2A02:88D:4033::/48,SA,SA-04,Eastern,
2A02:88D:4034::/48,SA,SA-04,Eastern,
2A02:88D:4035::/48,SA,SA-04,Eastern,
2A02:88D:4036::/48,SA,SA-04,Eastern,
2A02:88D:4037::/48,SA,SA-04,Eastern,
2A02:88D:4038::/48,SA,SA-04,Eastern,
2A02:88D:4010::/48,SA,SA-04,Eastern,
2A02:88D:401F::/64,SA,SA-04,Eastern,
2A02:88D:4019::/48,SA,SA-04,Eastern,
2A02:88D:401A::/48,SA,SA-04,Eastern,
2A02:88D:401B::/48,SA,SA-04,Eastern,
2A02:88D:401C::/48,SA,SA-04,Eastern,
2A02:88D:401D::/48,SA,SA-04,Eastern,
2A02:88D:401E::/48,SA,SA-04,Eastern,
2A02:88D:4011::/48,SA,SA-04,Eastern,
2A02:88D:4012::/48,SA,SA-04,Eastern,
2A02:88D:4013::/48,SA,SA-04,Eastern,
2A02:88D:4014::/48,SA,SA-04,Eastern,
2A02:88D:4015::/48,SA,SA-04,Eastern,
2A02:88D:4016::/48,SA,SA-04,Eastern,
2A02:88D:4017::/48,SA,SA-04,Eastern,
2A02:88D:4018::/48,SA,SA-04,Eastern,
2A02:88D:4020::/48,SA,SA-04,Eastern,
2A02:88D:402F::/64,SA,SA-04,Eastern,
2A02:88D:4029::/48,SA,SA-04,Eastern,
2A02:88D:402A::/48,SA,SA-04,Eastern,
2A02:88D:402B::/48,SA,SA-04,Eastern,
2A02:88D:402C::/48,SA,SA-04,Eastern,
2A02:88D:402D::/48,SA,SA-04,Eastern,
2A02:88D:402E::/48,SA,SA-04,Eastern,
2A02:88D:4021::/48,SA,SA-04,Eastern,
2A02:88D:4022::/48,SA,SA-04,Eastern,
2A02:88D:4023::/48,SA,SA-04,Eastern,
2A02:88D:4024::/48,SA,SA-04,Eastern,
2A02:88D:4025::/48,SA,SA-04,Eastern,
2A02:88D:4026::/48,SA,SA-04,Eastern,
2A02:88D:4027::/48,SA,SA-04,Eastern,
2A02:88D:4028::/48,SA,SA-04,Eastern,
2A02:88D:4000::/48,SA,SA-04,Eastern,
2A02:88D:400F::/64,SA,SA-04,Eastern,
2A02:88D:4009::/48,SA,SA-04,Eastern,
2A02:88D:400A::/48,SA,SA-04,Eastern,
2A02:88D:400B::/48,SA,SA-04,Eastern,
2A02:88D:400C::/48,SA,SA-04,Eastern,
2A02:88D:400D::/48,SA,SA-04,Eastern,
2A02:88D:400E::/48,SA,SA-04,Eastern,
2A02:88D:4001::/48,SA,SA-04,Eastern,
2A02:88D:4002::/48,SA,SA-04,Eastern,
2A02:88D:4003::/48,SA,SA-04,Eastern,
2A02:88D:4004::/48,SA,SA-04,Eastern,
2A02:88D:4005::/48,SA,SA-04,Eastern,
2A02:88D:4006::/48,SA,SA-04,Eastern,
2A02:88D:4007::/48,SA,SA-04,Eastern,
2A02:88D:4008::/48,SA,SA-04,Eastern,
2A02:888:8252::/48,SA,SA-04,Eastern,
2A02:888:8255::/64,SA,SA-04,Eastern,
2A02:888:8253::/48,SA,SA-04,Eastern,
2A02:888:8254::/48,SA,SA-04,Eastern,
2A02:888:8244::/48,SA,SA-04,Eastern,
2A02:888:8247::/64,SA,SA-04,Eastern,
2A02:888:8245::/48,SA,SA-04,Eastern,
2A02:888:8246::/48,SA,SA-04,Eastern,
2A02:888:8248::/48,SA,SA-04,Eastern,
2A02:888:8251::/64,SA,SA-04,Eastern,
2A02:888:8249::/48,SA,SA-04,Eastern,
2A02:888:8250::/48,SA,SA-04,Eastern,
2A02:888:8240::/48,SA,SA-04,Eastern,
2A02:888:8243::/64,SA,SA-04,Eastern,
2A02:888:8241::/48,SA,SA-04,Eastern,
2A02:888:8242::/48,SA,SA-04,Eastern,
2A02:88D:8230::/48,SA,SA-04,Eastern,
2A02:88D:823F::/64,SA,SA-04,Eastern,
2A02:88D:8239::/48,SA,SA-04,Eastern,
2A02:88D:823A::/48,SA,SA-04,Eastern,
2A02:88D:823B::/48,SA,SA-04,Eastern,
2A02:88D:823C::/48,SA,SA-04,Eastern,
2A02:88D:823D::/48,SA,SA-04,Eastern,
2A02:88D:823E::/48,SA,SA-04,Eastern,
2A02:88D:8231::/48,SA,SA-04,Eastern,
2A02:88D:8232::/48,SA,SA-04,Eastern,
2A02:88D:8233::/48,SA,SA-04,Eastern,
2A02:88D:8234::/48,SA,SA-04,Eastern,
2A02:88D:8235::/48,SA,SA-04,Eastern,
2A02:88D:8236::/48,SA,SA-04,Eastern,
2A02:88D:8237::/48,SA,SA-04,Eastern,
2A02:88D:8238::/48,SA,SA-04,Eastern,
2A02:88D:8210::/48,SA,SA-04,Eastern,
2A02:88D:821F::/64,SA,SA-04,Eastern,
2A02:88D:8219::/48,SA,SA-04,Eastern,
2A02:88D:821A::/48,SA,SA-04,Eastern,
2A02:88D:821B::/48,SA,SA-04,Eastern,
2A02:88D:821C::/48,SA,SA-04,Eastern,
2A02:88D:821D::/48,SA,SA-04,Eastern,
2A02:88D:821E::/48,SA,SA-04,Eastern,
2A02:88D:8211::/48,SA,SA-04,Eastern,
2A02:88D:8212::/48,SA,SA-04,Eastern,
2A02:88D:8213::/48,SA,SA-04,Eastern,
2A02:88D:8214::/48,SA,SA-04,Eastern,
2A02:88D:8215::/48,SA,SA-04,Eastern,
2A02:88D:8216::/48,SA,SA-04,Eastern,
2A02:88D:8217::/48,SA,SA-04,Eastern,
2A02:88D:8218::/48,SA,SA-04,Eastern,
2A02:88D:8220::/48,SA,SA-04,Eastern,
2A02:88D:822F::/64,SA,SA-04,Eastern,
2A02:88D:8229::/48,SA,SA-04,Eastern,
2A02:88D:822A::/48,SA,SA-04,Eastern,
2A02:88D:822B::/48,SA,SA-04,Eastern,
2A02:88D:822C::/48,SA,SA-04,Eastern,
2A02:88D:822D::/48,SA,SA-04,Eastern,
2A02:88D:822E::/48,SA,SA-04,Eastern,
2A02:88D:8221::/48,SA,SA-04,Eastern,
2A02:88D:8222::/48,SA,SA-04,Eastern,
2A02:88D:8223::/48,SA,SA-04,Eastern,
2A02:88D:8224::/48,SA,SA-04,Eastern,
2A02:88D:8225::/48,SA,SA-04,Eastern,
2A02:88D:8226::/48,SA,SA-04,Eastern,
2A02:88D:8227::/48,SA,SA-04,Eastern,
2A02:88D:8228::/48,SA,SA-04,Eastern,
2A02:88D:8200::/48,SA,SA-04,Eastern,
2A02:88D:820F::/64,SA,SA-04,Eastern,
2A02:88D:8209::/48,SA,SA-04,Eastern,
2A02:88D:820A::/48,SA,SA-04,Eastern,
2A02:88D:820B::/48,SA,SA-04,Eastern,
2A02:88D:820C::/48,SA,SA-04,Eastern,
2A02:88D:820D::/48,SA,SA-04,Eastern,
2A02:88D:820E::/48,SA,SA-04,Eastern,
2A02:88D:8201::/48,SA,SA-04,Eastern,
2A02:88D:8202::/48,SA,SA-04,Eastern,
2A02:88D:8203::/48,SA,SA-04,Eastern,
2A02:88D:8204::/48,SA,SA-04,Eastern,
2A02:88D:8205::/48,SA,SA-04,Eastern,
2A02:88D:8206::/48,SA,SA-04,Eastern,
2A02:88D:8207::/48,SA,SA-04,Eastern,
2A02:88D:8208::/48,SA,SA-04,Eastern,
