Network,Alpha2code,Region,City
46.184.104.0/24,SA,SA-04,Eastern
46.184.105.0/24,SA,SA-04,Eastern
46.184.106.0/24,SA,SA-04,Eastern
46.184.107.0/24,SA,SA-04,Eastern
46.184.108.0/24,SA,SA-04,Eastern
46.184.109.0/24,SA,SA-04,Eastern
46.184.110.0/24,SA,SA-04,Eastern
46.184.111.0/24,SA,SA-04,Eastern
188.249.124.0/24,SA,SA-04,Eastern
188.249.120.0/24,SA,SA-04,Eastern
188.249.122.0/24,SA,SA-04,Eastern
94.77.241.0/24,SA,SA-04,Eastern
46.184.60.0/24,SA,SA-04,Eastern
46.184.56.0/24,SA,SA-04,Eastern
46.184.58.0/24,SA,SA-04,Eastern
46.184.96.0/24,SA,SA-04,Eastern
46.184.97.0/24,SA,SA-04,Eastern
46.184.98.0/24,SA,SA-04,Eastern
46.184.99.0/24,SA,SA-04,Eastern
46.184.100.0/24,SA,SA-04,Eastern
46.184.101.0/24,SA,SA-04,Eastern
46.184.102.0/24,SA,SA-04,Eastern
46.184.103.0/24,SA,SA-04,Eastern
46.184.104.0/24,SA,SA-04,Eastern
46.184.105.0/24,SA,SA-04,Eastern
46.184.106.0/24,SA,SA-04,Eastern
46.184.107.0/24,SA,SA-04,Eastern
46.184.108.0/24,SA,SA-04,Eastern
46.184.109.0/24,SA,SA-04,Eastern
46.184.110.0/24,SA,SA-04,Eastern
46.184.111.0/24,SA,SA-04,Eastern
